"sg_sistema","sg_subsistema","diagnostico","territorio","municipio_residencia","municipio_estabelecimento","estabelecimento","procedimento","quantidade","valor","cns","sexo","idade","ano","periodo","raca_cor","autorizacao","complexidade","financiamento","rubrica_faec","cep","etnia","natureza_juridica","peso","altura","carater_atendimento","gestao","desfecho","nascimento","profissional","gestante","outros_atributos"
CIH,CR,diag_princ;diag_secun,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea,dias_perm,"","",sexo,idade,ano_cmpt,dt_inter;dt_saida;mes_cmpt,"","","","","","","",natureza,"","",car_int,gestao,"",nasc,"","",cgc_hosp;cobranca;cod_idade;espec;fonte;homonimo;morte;nacional;uti_int_to;uti_mes_to
CIHA,CIHA,diag_princ;diag_secun,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea,dias_perm,"","",sexo,idade,ano_cmpt,dt_atend;dt_saida;mes_cmpt,"","","","","","","",natureza,"","",car_int,gestao,"",nasc,"","",cgc_consor;cgc_hosp;cobranca;cod_idade;espec;fonte;homonimo;modalidade;morte;nacional;qt_proc;uti_int_to;uti_mes_to
PCE,PCE,"",sg_uf,"","","","",qt_17;qt_1a4;qt_5a16;qt_anc;qt_asc;qt_atrat;qt_aus;qt_bgla;qt_bstr;qt_bten;qt_cap;qt_ci;qt_ev;qt_exam;qt_hn;qt_nrecol;qt_out;qt_out1;qt_pesq;qt_pop;qt_pos;qt_posbgla;qt_posbstr;qt_posbten;qt_posout;qt_pred;qt_rec;qt_se;qt_tae;qt_trat;qt_tt,"","","","","",dt_comp,"","","","","","","","","","","","","","","","",id_distr;id_loc;id_uf
PNI,CPNI,"",munic,"","","","",qt_dose,"","","","",ano,"","","","","","","","","","","","","","","","","",cobert;dose;fx_etaria;imuno;pop;uf
PNI,DPNI,"",munic,"","","","",qt_dose,"","","","",ano,anomes;mes,"","","","","","","","","","","","","","","","",aband;difer;dose;dose1;dosen;fx_etaria;imuno;uf
RESP,RESP,"",codmunnot;codmunres;id_mn_resi;ufnot,codmunres;id_mn_resi;ufres,"","","",frequencia,"","",sexo,"",ano_nasc;ano_not,dt_nasc;dt_nascmae;dt_notific;dt_obito;dt_rs;dt_sintoma;dt_tc;dt_transf;dt_ult_alt;dt_uss,racacor,"","","","","","","",peso,"","","",classifin,"","",gest_diag,cefaleia;class_feto;co_seq;compriment;conjuntiv;criterio;def_audit;def_neuro;def_visual;diamcefal;dor_artic;dor_musc;edema;etiologia;exa_torsch;exa_transf;exame_rs;exame_tc;exame_uss;exant_ges;febre_ges;gravidez;hipert_gan;hist_arbov;hist_malfo;idadeges;microcefal;neurolog;pcr_z;perimcefal;prurido;regiaonot;regiaores;resul_c;resul_h;resul_s;resul_to;resul_z;rnexa_tors;rnpcr_z;rnresul_c;rnresul_h;rnresul_s;rnresul_to;rnresul_z;rnso_igg_z;rnso_igm_z;rntr_igg_z;rntr_igm_z;so_igg_z;so_igm_z;st_obito;status_not;tp_notific;tpdeteccao;tr_igg_z;tr_igm_z
SIA,AB,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,ab_anoacom,ab_dtcirg2;ab_dtcirur;ab_mesacom;ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ab_numaih;ab_numaih2;ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ab_imc;ab_pontbar;ab_prcaih2;ab_prcaih3;ab_procaih;ab_tabbarr;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,ACF,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",acf_artdia;acf_duplex;acf_flebit;acf_fremit;acf_hemato;acf_prefav;acf_pulso;acf_usocat;acf_veiavi;acf_veidia;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AD,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AM,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,am_qtdtran,"",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","",am_peso,am_altura,ap_catend,"","","","","",am_gestant;am_transpl;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AMP,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",amp_dtcli;amp_dtini;ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",amp_caract;ap_catend,"","","","","",amp_acevas;amp_albumi;amp_fosfor;amp_hb;amp_hbsag;amp_hcv;amp_hiv;amp_interc;amp_ktvsem;amp_maisne;amp_pth;amp_seapto;amp_seperi;amp_sitini;amp_sittra;amp_tru;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AN,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",an_dtpdr;ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","",an_peso,"",ap_catend,"","","","","",an_acevas;an_albumi;an_altura;an_cncdo;an_diures;an_glicos;an_hb;an_hbsag;an_hcv;an_hiv;an_intfis;an_tru;an_ulsoab;ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap
SIA,AQ,ap_cidcas;ap_cidpri;ap_cidsec;aq_cid10;aq_cidini1;aq_cidini2;aq_cidini3,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm;aq_dtiden;aq_dtini1;aq_dtini2;aq_dtini3;aq_dtintr,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap;aq_conttr;aq_esqu_p1;aq_esqu_p2;aq_estadi;aq_grahis;aq_linfin;aq_totmau;aq_totmpl;aq_trante
SIA,AR,ap_cidcas;ap_cidpri;ap_cidsec;ar_cid10;ar_cidini1;ar_cidini2;ar_cidini3;ar_cidtr1;ar_cidtr2;ar_cidtr3,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm;ar_dtiden;ar_dtini1;ar_dtini2;ar_dtini3;ar_dtintr,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend,"","","","","",ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap;ar_conttr;ar_estadi;ar_fimar1;ar_fimar2;ar_fimar3;ar_finali;ar_grahis;ar_iniar1;ar_iniar2;ar_iniar3;ar_linfin;ar_numc1;ar_numc2;ar_numc3;ar_smrd;ar_trante
SIA,ATD,ap_cidcas;ap_cidpri;ap_cidsec,ap_munpcn;ap_ufmun,ap_munpcn,ap_ufmun,"",ap_pripal,"","",ap_cnspcn,ap_sexo,ap_nuidade,"",ap_cmp;ap_dtaut;ap_dtfim;ap_dtinic;ap_dtocor;ap_dtsolic;ap_mvm;atd_dtcli;atd_dtpdr,ap_racacor,ap_autoriz,"","","",ap_ceppcn,"","","","",ap_catend;atd_caract,"","","","","",ap_alta;ap_apacant;ap_cnpjcpf;ap_cnpjmnt;ap_codemi;ap_coduni;ap_coidade;ap_condic;ap_encerr;ap_etnia;ap_gestao;ap_mn_ind;ap_mndif;ap_motsai;ap_natjur;ap_obito;ap_perman;ap_tippre;ap_tpapac;ap_tpaten;ap_tpups;ap_transf;ap_ufdif;ap_ufnacio;ap_unisol;ap_vl_ap;atd_acevas;atd_albumi;atd_fosfor;atd_hb;atd_hbsag;atd_hcv;atd_hiv;atd_interc;atd_ktvsem;atd_maisne;atd_pth;atd_seapto;atd_seperi;atd_sitini;atd_sittra;atd_tru
SIA,BI,cidpri,munpac;ufmun,munpac,ufmun,coduni,proc_id,qt_apres;qt_aprov,vl_apres;vl_aprov,cns_pac,sexopac,idadepac,"",dt_atend;dt_process;dtnasc,racacor,autoriz,complex,subfin;tpfin,subfin,"",etnia,nat_jur,"","",catend,gestao,"",dtnasc,cboprof,"",cboprof;cnpj_cc;cnpjcpf;cnpjmnt;cnsprof;condic;mn_ind;mndif;qt_apres;tippre;tpidadepac;tpups;ufdif;vl_apres
SIA,PA,pa_cidcas;pa_cidpri;pa_cidsec,pa_munat;pa_munpcn;pa_ufmun,pa_munpcn,pa_munat;pa_ufmun,pa_coduni,pa_proc_id,pa_qtdapr;pa_qtdpro,pa_valapr;pa_valpro,cnspcn;nu_cnspcn,pa_sexo,idademax;idademin;pa_idade,"",pa_cmp;pa_datref;pa_mvm,pa_racacor,pa_autoriz;pa_numapa,pa_nivcpl,pa_subfin;pa_tpfin,"","","","","","","",pa_gestao,pa_encerr,"",pa_cbocod;pa_cnsmed,"",nu_pa_tot;nu_vpa_tot;pa_alta;pa_catend;pa_cnpj_cc;pa_cnpjcpf;pa_cnpjmnt;pa_codesp;pa_codoco;pa_condic;pa_datpr;pa_dif_val;pa_docorig;pa_etnia;pa_fler;pa_flidade;pa_flqt;pa_fxetar;pa_incout;pa_incurg;pa_indica;pa_ine;pa_mn_ind;pa_mndif;pa_morfol;pa_motsai;pa_nat_jur;pa_nh;pa_obito;pa_perman;pa_rcb;pa_rcbdf;pa_regct;pa_srv_c;pa_tipate;pa_tippre;pa_tippro;pa_tpups;pa_transf;pa_ufdif;pa_vl_cf;pa_vl_cl;pa_vl_inc
SIA,PS,cidassoc;cidpri,munpac;ufmun,munpac,ufmun,cnes_esf;cnes_exec,pa_proc_id,pa_qtdapr;pa_qtdpro,"",cns_pac,sexopac,idadepac,"",dt_atend;dt_fim;dt_inicio;dt_motcob;dt_process;dtnasc,racacor,"","","","","",etnia,nat_jur,"","",catend,gestao,"",dtnasc,"","",cnpjcpf;cnpjmnt;cob_esf;condic;destinopac;fim;inicio;loc_realiz;mn_ind;mot_cob;nacion_pac;origem_pac;pa_class_s;pa_srv;permanen;qtdate;qtdpcn;sit_rua;tippre;tp_droga;tpidadepac;tpups
SIA,SAD,cidassoc;cidpri;pa_cid,munpac;ufmun,munpac,ufmun,cnes_esf;cnes_exec,pa_proc_id,pa_qtdapr;pa_qtdpro,"",cns_pac,sexopac,idadepac,"",dt_atend;dt_fim;dt_inicio;dt_motcob;dt_process;dtnasc,racacor,"","","","","",etnia,nat_jur,"","",catend,gestao,"",dtnasc,"","",cnpjcpf;cnpjmnt;co_ine;cob_esf;condic;destinopac;fim;inicio;mn_ind;mot_cob;nacion_pac;origem_pac;pa_class_s;pa_equipe;pa_srv;pa_tp_eqp;permanen;qtdate;qtdpcn;tpidadepac;tpups
SIH,CH,"",munic_loc,"","",cnes,"","","","","","","",cmpt,"","","","","","","","","","","","","","","","",cgc_hosp;cnpj_mant;nomefant;razao
SIH,CM,"","","","","","","","","","","","",compet,"","","","","","","","","","","","","","","","",cnpj_mant;razao
SIH,ER,"",mun_mov;mun_res,mun_res,"",cnes,"","",uf_zi,"","","",ano,dt_inter;dt_saida;mes,"",aih,"","","","","","","","","","","","","","",co_erro;remessa;sequencia;uf_res
SIH,RD,cid_asso;cid_morte;cid_notif;diag_princ;diag_sec;diag_secun;diagsec1;diagsec2;diagsec3;diagsec4;diagsec5;diagsec6;diagsec7;diagsec8;diagsec9,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea;proc_solic,dias_perm;qt_diarias,uf_zi;us_ortp;us_rn;us_sadt;us_sangue;us_sh;us_sp;us_tot;val_acomp;val_obsang;val_ortp;val_ped1ac;val_rn;val_sadt;val_sadtsr;val_sang;val_sangue;val_sh;val_sh_fed;val_sh_ges;val_sp;val_sp_fed;val_sp_ges;val_tot;val_transp;val_uci;val_uti,"",sexo,idade,ano_cmpt,dt_inter;dt_saida;gestor_dt;mes_cmpt,raca_cor,n_aih,complex,financ,faec_tp;rubrica,cep,etnia,nat_jur;natureza,"","",car_int,gestao,"",nasc,"","",aud_just;cbor;cgc_hosp;cgc_mant;cnaer;cnpj_mant;cobranca;cod_arq;cod_idade;cod_seg;cont;contracep1;contracep2;cpf_aut;diar_acom;espec;gestor_cod;gestor_cpf;gestor_tp;gestrisco;homonimo;ident;ind_vdrl;infehosp;insc_pn;instru;marca_uci;marca_uti;morte;nacional;num_filhos;num_proc;regct;remessa;semiplen;seq_aih5;sequencia;sis_just;tot_pt_sp;tpdisec1;tpdisec2;tpdisec3;tpdisec4;tpdisec5;tpdisec6;tpdisec7;tpdisec8;tpdisec9;uti_int_al;uti_int_an;uti_int_in;uti_int_to;uti_mes_al;uti_mes_an;uti_mes_in;uti_mes_to;uti_total;vincprev
SIH,RJ,cid_asso;cid_morte;cid_notif;diag_princ;diag_secun,munic_mov;munic_res,munic_res,munic_mov,cnes,proc_rea;proc_solic,dias_perm;qt_diarias,uf_zi;us_tot;val_acomp;val_obsang;val_ortp;val_ped1ac;val_rn;val_sadt;val_sadtsr;val_sangue;val_sh;val_sp;val_tot;val_transp;val_uti,"",sexo,idade,ano_cmpt,dt_inter;dt_saida;gestor_dt;mes_cmpt,raca_cor,n_aih,complex,financ,faec_tp;rubrica,cep,etnia,nat_jur;natureza,"","",car_int,gestao,"",nasc,"","",cbor;cgc_hosp;cnaer;cnpj_mant;cobranca;cod_idade;contracep1;contracep2;cpf_aut;diar_acom;espec;gestor_cod;gestor_cpf;gestor_tp;gestrisco;homonimo;ident;ind_vdrl;infehosp;insc_pn;instru;marca_uti;morte;nacional;num_filhos;num_proc;regct;remessa;seq_aih5;sequencia;st_bloq;st_mot_blo;st_situac;tot_pt_sp;uti_int_al;uti_int_an;uti_int_in;uti_int_to;uti_mes_al;uti_mes_an;uti_mes_in;uti_mes_to;vincprev
SIH,SP,sp_cidpri;sp_cidsec,sp_m_hosp;sp_m_pac,sp_m_pac,sp_m_hosp,sp_cnes,sp_atoprof;sp_procrea,sp_qtd_ato,"","","","","",sp_dtinter;sp_dtsaida,"",sp_naih;sp_u_aih,sp_complex,sp_financ,sp_co_faec,"","","","","","","","","","","",in_tp_val;remessa;sequencia;serv_cla;sp_aa;sp_cgchosp;sp_cpfcgc;sp_des_hos;sp_des_pac;sp_gestor;sp_mm;sp_nf;sp_num_pr;sp_pf_cbo;sp_pf_doc;sp_pj_doc;sp_ptsp;sp_ptsp_nf;sp_qt_proc;sp_tipo;sp_tp_ato;sp_uf;sp_valato
SIM,DO,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmuncart;codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecorig;dtrecoriga;dtregcart,racacor,"","","","","","","",peso,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;assistmed;atestante;cb_pre;circobito;cirurgia;codbaiocor;codbaires;codcart;codificado;comunsvoim;contador;crm;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;expdifdata;fonte;fonteinv;fontes;fontesinf;gravidez;horaobito;idademae;linhaa;lococor;morteparto;natural;necropsia;nudiasinf;nudiasobco;nudiasobin;numerodn;numerolote;numregcart;obitograv;obitoparto;obitopuerp;ocup;ocupmae;origem;parto;qtdfilmort;qtdfilvivo;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipobito;tpassina;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;ufinform;versaoscb;versaosist
SIM,DOE,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmuncart;codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecorig;dtrecoriga;dtregcart,racacor,"","","","","","","",peso,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;assistmed;atestante;cb_pre;circobito;cirurgia;codbaiocor;codbaires;codcart;codificado;comunsvoim;contador;crm;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;expdifdata;fonte;fonteinv;fontes;fontesinf;gravidez;horaobito;idademae;linhaa;lococor;morteparto;natural;necropsia;nudiasinf;nudiasobco;nudiasobin;numerolote;numregcart;obitograv;obitoparto;obitopuerp;ocup;ocupmae;origem;parto;qtdfilmort;qtdfilvivo;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipobito;tpassina;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;ufinform;versaoscb;versaosist
SIM,DOF,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmuncart;codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecorig;dtrecoriga;dtregcart,racacor,"","","","","",etnia,"",peso;pesonasc,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;areares;assistmed;atestante;baires;cb_pre;circobito;cirurgia;codbaiocor;codbaires;codcart;codificado;codigo;comunsvoim;contador;critica;crm;crsocor;crsres;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;filhmort;filhvivos;fonte;fonteinv;fontes;fontesinf;fontinfo;gravidez;horaobito;idademae;instrmae;instrpai;instrucao;linhaa;linhaa_o;linhab_o;linhac_o;linhad_o;linhaii_o;locacid;lococor;medico;morteparto;natural;necropsia;nudiasinf;nudiasobco;nudiasobin;numerolote;numexport;numregcart;obitograv;obitoparto;obitopuerp;ocup;ocupacao;ocupmae;ocuppai;origem;parto;qtdfilmort;qtdfilvivo;semangest;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipoacid;tipobito;tipograv;tipoparto;tipoviol;tpassina;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;ufinform;versaoscb;versaosist
SIM,DOI,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmuncart;codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecorig;dtrecoriga;dtregcart,racacor,"","","","","","","",peso,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;assistmed;atestante;cb_pre;circobito;cirurgia;codbaiocor;codbaires;codcart;codificado;comunsvoim;contador;crm;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;expdifdata;fonte;fonteinv;fontes;fontesinf;gravidez;horaobito;idademae;linhaa;lococor;morteparto;natural;necropsia;nudiasinf;nudiasobco;nudiasobin;numerolote;numregcart;obitograv;obitoparto;obitopuerp;ocup;ocupmae;origem;parto;qtdfilmort;qtdfilvivo;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipobito;tpassina;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;ufinform;versaoscb;versaosist
SIM,DOM,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmuncart;codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecorig;dtrecoriga;dtregcart,racacor,"","","","","","","",peso,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;assistmed;atestante;cb_pre;circobito;cirurgia;codbaiocor;codbaires;codcart;codificado;comunsvoim;contador;crm;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;expdifdata;fonte;fonteinv;fontes;fontesinf;gravidez;horaobito;idademae;linhaa;lococor;morteparto;natural;necropsia;nudiasinf;nudiasobco;nudiasobin;numerolote;numregcart;obitograv;obitoparto;obitopuerp;ocup;ocupmae;origem;parto;qtdfilmort;qtdfilvivo;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipobito;tpassina;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;ufinform;versaoscb;versaosist
SIM,DORE,atestado;causabas;causabas_o;causamat;linhab;linhac;linhad;linhaii,codmunnatu;codmunocor;codmunres,codmunres,codmunocor,codestab,"","","","",sexo,idade,"",dtatestado;dtcadastro;dtcadinf;dtcadinv;dtconcaso;dtconinv;dtinvestig;dtnasc;dtobito;dtrecebim;dtrecoriga,racacor,"","","","","","","",peso,"","","","",dtnasc,"",gestacao;semagestac,acidtrab;altcausa;assistmed;atestante;cb_pre;circobito;cirurgia;codificado;codpaisres;comunsvoim;contador;difdata;esc;esc2010;escfalagr1;escmae;escmae2010;escmaeagr1;estabdescr;estciv;exame;fonte;fonteinv;fontes;fontesinf;gravidez;horaobito;idademae;linhaa;lococor;morteparto;natural;necropsia;nudiasinf;nudiasobco;numerolote;obitograv;obitoparto;obitopuerp;ocup;ocupmae;origem;parto;qtdfilmort;qtdfilvivo;seriescfal;seriescmae;stcodifica;stdoepidem;stdonova;tipobito;tpmorteoco;tpnivelinv;tpobitocor;tppos;tpresginfo;versaoscb;versaosist
SINANFINAIS,ACBI,id_agravo,id_mn_resi;id_municip;mun_emp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_acid;dt_notific;dt_obito,cs_raca,"","","","","","","","","","","","","","",cs_gestant,agente;anti_hbs;anti_hcv;anti_hiv;avental;azt3tc;azt3tc_ind;azt3tc_nfv;bota;cat;cnae;cs_escol_n;evo_outr;evolucao;facial;fo_ant_hbc;fo_ant_hcv;fo_ant_hiv;fo_hbsag;fonte;hbsag;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;imu_hep_b;luva;mascara;mat_org;mat_org_de;mucosa;nutempo;oculos;out_arv_es;out_exp_de;outro_arv;outro_exp;pele_integ;pele_nao_i;percutanea;recusa_qui;sem_acid;sem_not;sem_quimio;sg_uf_not;sit_trab;terceiriza;tipo_acid;tp_not;tptempo;uf_emp;vac_hep_b;vacina
SINANFINAIS,ACGR,cid_acid;cid_lesao;id_agravo,id_mn_resi;id_municip;mun_acid;mun_atende;mun_emp;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_acid;dt_atende;dt_notific;dt_obito,cs_raca,"","","","","","","","","","","","","","",cs_gestant,atende_med;cat;cnae;cnae_prin;cs_escol_n;evolucao;hora_acid;hora_jor;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;local_acid;mais_trab;min_acid;min_jor;nu_trab;nutempo;part_corp1;part_corp2;part_corp3;regime;sem_acid;sem_not;sg_uf_not;sit_trab;terceiriza;tipo_acid;tp_not;tptempo;uf_acid;uf_atende;uf_emp;uni_atende
