"sg_sistema","sg_subsistema","diagnostico","territorio","municipio_residencia","municipio_estabelecimento","estabelecimento","procedimento","quantidade","valor","cns","sexo","idade","ano","periodo","raca_cor","autorizacao","complexidade","financiamento","rubrica_faec","cep","etnia","natureza_juridica","peso","altura","carater_atendimento","gestao","desfecho","nascimento","profissional","gestante","outros_atributos"
SINANFINAIS,ROTA,id_agravo,id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_1vac;dt_2vac;dt_digita;dt_encerra;dt_envio;dt_fezes;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_vop,"","","","","","","","","","","","",classi_fin,"","",cs_gestant,acondic;bacteria;caso_isola;criterio;cs_escol_n;cs_mening;cs_suspeit;d_diar;d_vomito;diarreia;evolucao;febre;genot_g;genot_p;id_pais;id_regiona;id_rg_resi;id_unidade;lab_prod1;lab_prod2;leite;lote1;lote2;medicament;n_diar;n_vomito;nome_bact;nome_paras;nome_virus;nu_lote_h;nu_lote_v;out_medic;out_virus;parasita;rota_r;sang;sem_not;sem_pri;sg_uf_not;surto;t_febre;tipo_leite;tp_not;vacina;vomito;vop_vorh
SINANFINAIS,SDTA,id_agravo,id_muni_re;id_municip;sg_uf,"",id_municip,"","","","","","","",nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_sin_pri;dttransdm;dttransrm;dttransrs;dttransse;dttranssm;dttransus,"","","","","","","","","","","","","","","","",agente_et0;agente_et1;agente_eti;alimento_c;criterio;cs_local;cs_trans;ds_f_outro;id_pais;id_regiona;id_rg_resi;id_unidade;max_inc;max_st_inc;nu10_19_n;nu1_4_f_nu;nu5_9_f_nu;nu_10_19;nu_10_19_m;nu_10_19ig;nu_1_4_ign;nu_1_4_nu;nu_1_4_tot;nu_1_f_nu;nu_1_ign;nu_1_m_nu;nu_1_tot_n;nu_20_49;nu_20_49_f;nu_20_49_n;nu_20_49ig;nu_50_f_nu;nu_50_ign;nu_50_m_nu;nu_50_tot;nu_5_9_ign;nu_5_9_nu;nu_5_9_tot;nu_a_num_3;nu_abdom_n;nu_cefal_n;nu_diarr_n;nu_ent_doe;nu_entr;nu_f_tot;nu_f_tot_n;nu_febre_n;nu_ig_f_nu;nu_ig_ign;nu_ign_nu;nu_igra_nu;nu_inc_me;nu_incub_m;nu_nause_p;nu_neuro_n;nu_num_3;nu_obito;nu_outro_n;nu_to_f_nu;nu_tot;nu_tot_hos;nu_tot_ign;nu_vomto_n;qt_total_c;sem_not;sem_pri;sg_uf_not;st_a_clini;st_alimen;st_f_outro;st_impro;st_inad;st_inc_me;st_incub_m;st_manip;tp_indiret;tp_local;tp_not;tp_pro_pre
SINANFINAIS,TETA,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_interna;dt_invest;dt_notific;dt_obito;dt_sin_pri;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus;dt_ult_dos,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,copaisinf;cs_abdomin;cs_crises;cs_escol_n;cs_hospita;cs_local;cs_membros;cs_nuca;cs_opistot;cs_riso;cs_sin_out;cs_trismo;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;nm_munic_h;nm_sin_out;nu_dose;nu_lote_h;nu_lote_i;nu_lote_v;sem_not;sem_pri;sg_uf_inte;sg_uf_not;tp_analise;tp_causa;tp_causout;tp_identfi;tp_localle;tp_not;tp_origem;tp_profila;tp_vacina;tpautocto
SINANFINAIS,TETN,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","","",nu_idade_n,nu_ano,dt_1_dose;dt_2_dose;dt_3_dose;dt_digita;dt_encerra;dt_invest;dt_nasc;dt_notific;dt_obito;dt_reforco;dt_sin_pri;dt_transdm;dt_trismo,cs_raca,"","","","","","","","","","","",classi_fin,"","",nu_gesta,copaisinf;counidinf;cs_abdomen;cs_analise;cs_atend_n;cs_buscaat;cs_cadastr;cs_choro;cs_cobertu;cs_crise;cs_divulga;cs_escol_n;cs_hospita;cs_inf_cot;cs_mamar;cs_membros;cs_nascido;cs_nuca;cs_opistot;cs_orienta;cs_origem;cs_outras;cs_outros;cs_riso;cs_sugou;cs_trismo;cs_vacinac;cs_vacteta;ds_inf_loc;ds_inf_out;escolmae_n;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;idade_mae;nm_out_sin;no_atenout;no_coboutr;no_ouparto;no_outras;num_con_n;sem_not;sem_pri;sg_uf_not;tp_not;tpautocto
SINANFINAIS,TOXC,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,copaisinf;criterio;cs_escol_n;doenca_tra;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;in_vincula;nduplic_n;sem_not;sem_pri;sg_uf_not;tp_not;tp_sistema;tpautocto;tpuninot
SINANFINAIS,TOXG,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,copaisinf;criterio;cs_escol_n;doenca_tra;evolucao;id_ocupa_n;id_pais;id_regiona;id_rg_resi;id_unidade;in_vincula;nduplic_n;sem_not;sem_pri;sg_uf_not;tp_not;tp_sistema;tpautocto;tpuninot
SINANFINAIS,TRAC,id_agravo,id_muni_re;id_municip;sg_uf,"",id_municip,"","","","","",cs_sexo,nu_idade_n,nu_ano,dt_digita;dt_notific;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus,"","","","","","","","","","","","","","","","",cs_inqueri;encaminha;forma_co;forma_tf;forma_ti;forma_ts;forma_tt;id_regiona;id_unidade;nu_caso;nu_lote_h;nu_lote_v;sem_not;sg_uf_not
SINANFINAIS,TUBE,id_agravo,id_mn_resi;id_munic_2;id_munic_a;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_diag;dt_digita;dt_encerra;dt_inic_tr;dt_mudanca;dt_noti_at;dt_notific;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus,cs_raca,"","","","","","","","","","","","","","",cs_gestant,agravaids;agravalcoo;agravdiabe;agravdoenc;agravdroga;agravoutde;agravoutra;agravtabac;ant_retro;bac_apos_6;bacilos_e2;bacilosc_1;bacilosc_2;bacilosc_3;bacilosc_4;bacilosc_5;bacilosc_6;bacilosc_e;bacilosc_o;benef_gov;cs_escol_n;cs_flxret;cultura_es;cultura_ou;doenca_tra;estreptomi;etambutol;etionamida;extrapu1_n;extrapu2_n;extrapul_o;flxrecebi;forma;histopatol;hiv;id_ocupa_n;id_pais;id_regiona;id_rg_resi;in_vincula;institucio;isoniazida;migrado_w;mun_transf;nduplic_n;nu_comu_ex;nu_contato;outras;outras_des;pirazinami;pop_imig;pop_liber;pop_rua;pop_saude;raiox_tora;rifampicin;sg_uf_2;sg_uf_at;sg_uf_not;situa_12_m;situa_9_m;situa_ence;test_molec;test_sensi;teste_tube;tp_not;tpuninot;transf;trat_super;tratamento;tratsup_at;uf_transf
SINANFINAIS,VIOL,id_agravo,id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,ano_nasc;nu_ano,dt_digita;dt_encerra;dt_invest;dt_notific;dt_obito;dt_ocor;dt_transdm;dt_transrm;dt_transrs;dt_transse;dt_transsm;dt_transus,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,ag_ameaca;ag_corte;ag_enfor;ag_enven;ag_espec;ag_fogo;ag_forca;ag_objeto;ag_outros;ag_quente;assist_soc;atend_mulh;autor_alco;autor_sexo;cicl_vid;circ_lesao;cons_abort;cons_comp;cons_dst;cons_espec;cons_estre;cons_grav;cons_ido;cons_ment;cons_outr;cons_suic;cons_tutel;cs_escol_n;def_auditi;def_espec;def_fisica;def_mental;def_out;def_trans;def_visual;defen_publ;deleg;deleg_cria;deleg_idos;deleg_mulh;dir_human;enc_abrigo;enc_creas;enc_deam;enc_deleg;enc_dpca;enc_espec;enc_iml;enc_mpu;enc_mulher;enc_outr;enc_saude;enc_sentin;enc_tutela;enc_vara;evolucao;hora_ocor;id_mn_ocor;id_ocupa_n;id_pais;id_unidade;ident_gen;infan_juv;les_autop;lesao_corp;lesao_espe;lesao_nat;local_espe;local_ocor;mpu;nduplic;num_envolv;orient_sex;out_vezes;pen_anal;pen_oral;pen_vagina;proc_abort;proc_contr;proc_dst;proc_hepb;proc_hiv;proc_sang;proc_semen;proc_vagin;rede_educa;rede_sau;rel_cat;rel_conhec;rel_conj;rel_cuida;rel_desco;rel_espec;rel_excon;rel_exnam;rel_filho;rel_inst;rel_irmao;rel_mad;rel_mae;rel_namo;rel_outros;rel_pad;rel_pai;rel_patrao;rel_pol;rel_propri;rel_sexual;rel_trab;sem_not;sem_pri;sex_assedi;sex_espec;sex_estupr;sex_explo;sex_outro;sex_porno;sex_pudor;sg_uf_not;sg_uf_ocor;sit_conjug;tp_not;tpuninot;tran_comp;tran_ment;viol_espec;viol_finan;viol_fisic;viol_infan;viol_legal;viol_motiv;viol_negli;viol_outr;viol_psico;viol_sexu;viol_tort;viol_traf
SINANFINAIS,ZIKA,id_agravo,comuninf;coufinf;id_mn_resi;id_municip;sg_uf,id_mn_resi,id_municip,"","","","","",cs_sexo,nu_idade_n,nu_ano,dt_encerra;dt_invest;dt_notific;dt_obito;dt_sin_pri,cs_raca,"","","","","","","","","","","",classi_fin,"","",cs_gestant,copaisinf;criterio;cs_escol_n;cs_flxret;cs_suspeit;doenca_tra;evolucao;flxrecebi;id_ocupa_n;id_pais;id_regiona;id_rg_resi;in_vincula;nduplic_n;sem_not;sem_pri;sg_uf_not;tp_not;tp_sistema;tpautocto;tpuninot
